time            X               S               e2              Y               L              
6.733466934e+01 6.953738161e+00 6.953738161e+00 1.887728056e-03 3.044374111e+00 3.044374111e+00
6.793587174e+01 6.934884530e+00 6.934884530e+00 1.877504384e-03 3.063237966e+00 3.063237966e+00
6.853707415e+01 6.916132841e+00 6.916132841e+00 1.867363529e-03 3.081999795e+00 3.081999795e+00
6.913827655e+01 6.897482272e+00 6.897482272e+00 1.857304594e-03 3.100660423e+00 3.100660423e+00
6.973947896e+01 6.878932006e+00 6.878932006e+00 1.847326693e-03 3.119220668e+00 3.119220668e+00
7.034068136e+01 6.860481235e+00 6.860481235e+00 1.837428951e-03 3.137681336e+00 3.137681336e+00
7.094188377e+01 6.842129163e+00 6.842129163e+00 1.827610538e-03 3.156043227e+00 3.156043227e+00
7.154308617e+01 6.823875000e+00 6.823875000e+00 1.817870616e-03 3.174307130e+00 3.174307130e+00
7.214428858e+01 6.805717964e+00 6.805717964e+00 1.808208343e-03 3.192473828e+00 3.192473828e+00
7.274549098e+01 6.787657282e+00 6.787657282e+00 1.798622903e-03 3.210544095e+00 3.210544095e+00
7.334669339e+01 6.769692188e+00 6.769692188e+00 1.789113490e-03 3.228518698e+00 3.228518698e+00
7.394789579e+01 6.751821926e+00 6.751821926e+00 1.779679304e-03 3.246398394e+00 3.246398394e+00
7.454909820e+01 6.734045750e+00 6.734045750e+00 1.770319495e-03 3.264183930e+00 3.264183930e+00
7.515030060e+01 6.716362917e+00 6.716362917e+00 1.761033318e-03 3.281876050e+00 3.281876050e+00
7.575150301e+01 6.698772693e+00 6.698772693e+00 1.751820001e-03 3.299475487e+00 3.299475487e+00
7.635270541e+01 6.681274352e+00 6.681274352e+00 1.742678781e-03 3.316982969e+00 3.316982969e+00
7.695390782e+01 6.663867176e+00 6.663867176e+00 1.733608906e-03 3.334399215e+00 3.334399215e+00
7.755511022e+01 6.646550455e+00 6.646550455e+00 1.724609630e-03 3.351724936e+00 3.351724936e+00
7.815631263e+01 6.629323488e+00 6.629323488e+00 1.715680277e-03 3.368960832e+00 3.368960832e+00
7.875751503e+01 6.612185577e+00 6.612185577e+00 1.706820106e-03 3.386107603e+00 3.386107603e+00
7.935871743e+01 6.595136034e+00 6.595136034e+00 1.698028408e-03 3.403165938e+00 3.403165938e+00
7.995991984e+01 6.578174176e+00 6.578174176e+00 1.689304490e-03 3.420136520e+00 3.420136520e+00
8.056112224e+01 6.561299328e+00 6.561299328e+00 1.680647668e-03 3.437020024e+00 3.437020024e+00
8.116232465e+01 6.544510823e+00 6.544510823e+00 1.672057267e-03 3.453817120e+00 3.453817120e+00
8.176352705e+01 6.527808001e+00 6.527808001e+00 1.663532509e-03 3.470528466e+00 3.470528466e+00
8.236472946e+01 6.511190209e+00 6.511190209e+00 1.655072724e-03 3.487154719e+00 3.487154719e+00
8.296593186e+01 6.494656797e+00 6.494656797e+00 1.646677262e-03 3.503696526e+00 3.503696526e+00
8.356713427e+01 6.478207124e+00 6.478207124e+00 1.638345450e-03 3.520154531e+00 3.520154531e+00
8.416833667e+01 6.461840556e+00 6.461840556e+00 1.630076617e-03 3.536529367e+00 3.536529367e+00
8.476953908e+01 6.445556464e+00 6.445556464e+00 1.621870098e-03 3.552821666e+00 3.552821666e+00
8.537074148e+01 6.429354228e+00 6.429354228e+00 1.613725424e-03 3.569032047e+00 3.569032047e+00
8.597194389e+01 6.413233232e+00 6.413233232e+00 1.605642097e-03 3.585161126e+00 3.585161126e+00
8.657314629e+01 6.397192866e+00 6.397192866e+00 1.597619424e-03 3.601209515e+00 3.601209515e+00
8.717434870e+01 6.381232527e+00 6.381232527e+00 1.589656841e-03 3.617177816e+00 3.617177816e+00
8.777555110e+01 6.365351616e+00 6.365351616e+00 1.581753804e-03 3.633066630e+00 3.633066630e+00
8.837675351e+01 6.349549543e+00 6.349549543e+00 1.573909784e-03 3.648876547e+00 3.648876547e+00
8.897795591e+01 6.333825722e+00 6.333825722e+00 1.566124033e-03 3.664608154e+00 3.664608154e+00
8.957915832e+01 6.318179576e+00 6.318179576e+00 1.558395510e-03 3.680262029e+00 3.680262029e+00
9.018036072e+01 6.302610528e+00 6.302610528e+00 1.550723896e-03 3.695838748e+00 3.695838748e+00
9.078156313e+01 6.287118010e+00 6.287118010e+00 1.543108545e-03 3.711338881e+00 3.711338881e+00
9.138276553e+01 6.271701460e+00 6.271701460e+00 1.535548797e-03 3.726762992e+00 3.726762992e+00
